mcu,pin,function,alias
STM32F303K8Tx,PF0,RCC_OSC_IN,RCC_OSC_IN
STM32F303K8Tx,PF0,TIM1_CH3N,TIM_CHN
STM32F303K8Tx,PF0,GPIO_Input,GPIO_Input
STM32F303K8Tx,PF0,GPIO_Output,GPIO_Output
STM32F303K8Tx,PF0,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PF0,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PF1,RCC_OSC_OUT,RCC_OSC_OUT
STM32F303K8Tx,PF1,GPIO_Input,GPIO_Input
STM32F303K8Tx,PF1,GPIO_Output,GPIO_Output
STM32F303K8Tx,PF1,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PF1,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PA0,ADC1_IN1,ADC_IN
STM32F303K8Tx,PA0,RTC_TAMP2,RTC_TAMP
STM32F303K8Tx,PA0,SYS_WKUP1,SYS_WKUP
STM32F303K8Tx,PA0,TIM2_CH1,TIM_CH
STM32F303K8Tx,PA0,TIM2_ETR,TIM_ETR
STM32F303K8Tx,PA0,TSC_G1_IO1,TSC_G_IO
STM32F303K8Tx,PA0,USART2_CTS,USART_CTS
STM32F303K8Tx,PA0,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA0,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA0,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA0,EVENTOUT,EVENTOUT
STM32F303K8Tx,PA0,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PA1,ADC1_IN2,ADC_IN
STM32F303K8Tx,PA1,RTC_REFIN,RTC_REFIN
STM32F303K8Tx,PA1,TIM15_CH1N,TIM_CHN
STM32F303K8Tx,PA1,TIM2_CH2,TIM_CH
STM32F303K8Tx,PA1,TSC_G1_IO2,TSC_G_IO
STM32F303K8Tx,PA1,USART2_DE,USART_DE
STM32F303K8Tx,PA1,USART2_RTS,USART_RTS
STM32F303K8Tx,PA1,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA1,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA1,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA1,EVENTOUT,EVENTOUT
STM32F303K8Tx,PA1,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PA2,ADC1_IN3,ADC_IN
STM32F303K8Tx,PA2,COMP2_INM,COMP_INM
STM32F303K8Tx,PA2,COMP2_OUT,COMP_OUT
STM32F303K8Tx,PA2,TIM15_CH1,TIM_CH
STM32F303K8Tx,PA2,TIM2_CH3,TIM_CH
STM32F303K8Tx,PA2,TSC_G1_IO3,TSC_G_IO
STM32F303K8Tx,PA2,USART2_TX,USART_TX
STM32F303K8Tx,PA2,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA2,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA2,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA2,EVENTOUT,EVENTOUT
STM32F303K8Tx,PA2,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PA3,ADC1_IN4,ADC_IN
STM32F303K8Tx,PA3,TIM15_CH2,TIM_CH
STM32F303K8Tx,PA3,TIM2_CH4,TIM_CH
STM32F303K8Tx,PA3,TSC_G1_IO4,TSC_G_IO
STM32F303K8Tx,PA3,USART2_RX,USART_RX
STM32F303K8Tx,PA3,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA3,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA3,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA3,EVENTOUT,EVENTOUT
STM32F303K8Tx,PA3,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PA4,ADC2_IN1,ADC_IN
STM32F303K8Tx,PA4,COMP2_INM,COMP_INM
STM32F303K8Tx,PA4,COMP4_INM,COMP_INM
STM32F303K8Tx,PA4,DAC1_OUT1,DAC_OUT
STM32F303K8Tx,PA4,SPI1_NSS,SPI_NSS
STM32F303K8Tx,PA4,TIM3_CH2,TIM_CH
STM32F303K8Tx,PA4,TSC_G2_IO1,TSC_G_IO
STM32F303K8Tx,PA4,USART2_CK,USART_CK
STM32F303K8Tx,PA4,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA4,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA4,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA4,EVENTOUT,EVENTOUT
