package,pin_number,pin_name,side,index
LQFP64,1,VBAT,LEFT,0
LQFP64,2,PC13,LEFT,1
LQFP64,3,PC14,LEFT,2
LQFP64,4,PC15,LEFT,3
LQFP64,5,PH0,LEFT,4
LQFP64,6,PH1,LEFT,5
LQFP64,7,NRST,LEFT,6
LQFP64,8,PC0,LEFT,7
LQFP64,9,PC1,LEFT,8
LQFP64,10,PC2,LEFT,9
LQFP64,11,PC3,LEFT,10
LQFP64,12,VSSA,LEFT,11
LQFP64,13,VDDA,LEFT,12
LQFP64,14,PA0,LEFT,13
LQFP64,15,PA1,LEFT,14
LQFP64,16,PA2,LEFT,15
LQFP64,17,PA3,BOTTOM,0
LQFP64,18,VSS,BOTTOM,1
LQFP64,19,VDD,BOTTOM,2
LQFP64,20,PA4,BOTTOM,3
LQFP64,21,PA5,BOTTOM,4
LQFP64,22,PA6,BOTTOM,5
LQFP64,23,PA7,BOTTOM,6
LQFP64,24,PC4,BOTTOM,7
LQFP64,25,PC5,BOTTOM,8
LQFP64,26,PB0,BOTTOM,9
LQFP64,27,PB1,BOTTOM,10
LQFP64,28,PB2,BOTTOM,11
LQFP64,29,PB10,BOTTOM,12
LQFP64,30,VCAP,BOTTOM,13
LQFP64,31,VSS,BOTTOM,14
LQFP64,32,VDD,BOTTOM,15
LQFP64,33,PB12,RIGHT,0
LQFP64,34,PB13,RIGHT,1
LQFP64,35,PB14,RIGHT,2
LQFP64,36,PB15,RIGHT,3
LQFP64,37,PC6,RIGHT,4
LQFP64,38,PC7,RIGHT,5
LQFP64,39,PC8,RIGHT,6
LQFP64,40,PC9,RIGHT,7
LQFP64,41,PA8,RIGHT,8
LQFP64,42,PA9,RIGHT,9
LQFP64,43,PA10,RIGHT,10
LQFP64,44,PA11,RIGHT,11
LQFP64,45,PA12,RIGHT,12
LQFP64,46,PA13,RIGHT,13
LQFP64,47,VSS,RIGHT,14
LQFP64,48,VDD,RIGHT,15
LQFP64,49,PA14,TOP,15
LQFP64,50,PA15,TOP,14
LQFP64,51,PC10,TOP,13
LQFP64,52,PC11,TOP,12
LQFP64,53,PC12,TOP,11
LQFP64,54,PD2,TOP,10
LQFP64,55,PB3,TOP,9
LQFP64,56,PB4,TOP,8
LQFP64,57,PB5,TOP,7
LQFP64,58,PB6,TOP,6
LQFP64,59,PB7,TOP,5
LQFP64,60,BOOT0,TOP,4
LQFP64,61,PB8,TOP,3
LQFP64,62,PB9,TOP,2
LQFP64,63,VSS,TOP,1
LQFP64,64,VDD,TOP,0
LQFP32,1,VDD,LEFT,0
LQFP32,2,PF0,LEFT,1
LQFP32,3,PF1,LEFT,2
LQFP32,4,NRST,LEFT,3
LQFP32,5,VDDA,LEFT,4
LQFP32,6,PA0,LEFT,5
LQFP32,7,PA1,LEFT,6
LQFP32,8,PA2,LEFT,7
LQFP32,9,PA3,BOTTOM,0
LQFP32,10,PA4,BOTTOM,1
LQFP32,11,PA5,BOTTOM,2
LQFP32,12,PA6,BOTTOM,3
LQFP32,13,PA7,BOTTOM,4
LQFP32,14,PB0,BOTTOM,5
LQFP32,15,PB1,BOTTOM,6
LQFP32,16,VSS,BOTTOM,7
LQFP32,17,VDD,RIGHT,0
LQFP32,18,PA8,RIGHT,1
LQFP32,19,PA9,RIGHT,2
LQFP32,20,PA10,RIGHT,3
LQFP32,21,PA11,RIGHT,4
LQFP32,22,PA12,RIGHT,5
LQFP32,23,PA13,RIGHT,6
LQFP32,24,PA14,RIGHT,7
LQFP32,25,PA15,TOP,7
LQFP32,26,PB3,TOP,6
LQFP32,27,PB4,TOP,5
LQFP32,28,PB5,TOP,4
LQFP32,29,PB6,TOP,3
LQFP32,30,PB7,TOP,2
LQFP32,31,BOOT0,TOP,1
LQFP32,32,VSS,TOP,0
