mcu,pin,ft,TTa,FTf,boot,notes
STM32F446RETx,PA0,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PA1,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PA2,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PA3,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PA4,FALSE,TRUE,FALSE,FALSE,
STM32F446RETx,PA5,FALSE,TRUE,FALSE,FALSE,
STM32F446RETx,PA6,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PA7,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PA8,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PA9,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PA10,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PA11,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PA12,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PA13,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PA14,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PA15,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB0,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB1,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB2,TRUE,FALSE,FALSE,TRUE,
STM32F446RETx,PB3,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB4,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB5,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB6,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB7,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB8,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB9,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB10,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB12,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB13,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB14,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PB15,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC0,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC1,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC2,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC3,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC4,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC5,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC6,FALSE,FALSE,TRUE,FALSE,
STM32F446RETx,PC7,FALSE,FALSE,TRUE,FALSE,
STM32F446RETx,PC8,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC9,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC10,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC11,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC12,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC13,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC14,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PC15,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PH0,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PH1,TRUE,FALSE,FALSE,FALSE,
STM32F446RETx,PD2,TRUE,FALSE,FALSE,FALSE,
STM32F303K8Tx,PA0,FALSE,TRUE,FALSE,FALSE,
STM32F303K8Tx,PA1,FALSE,TRUE,FALSE,FALSE,
STM32F303K8Tx,PA2,FALSE,TRUE,FALSE,FALSE,
STM32F303K8Tx,PA3,FALSE,TRUE,FALSE,FALSE,
STM32F303K8Tx,PA4,FALSE,TRUE,FALSE,FALSE,
STM32F303K8Tx,PA5,FALSE,TRUE,FALSE,FALSE,
STM32F303K8Tx,PA6,FALSE,TRUE,FALSE,FALSE,
STM32F303K8Tx,PA7,FALSE,TRUE,FALSE,FALSE,
STM32F303K8Tx,PA8,TRUE,FALSE,FALSE,FALSE,
STM32F303K8Tx,PA9,TRUE,FALSE,FALSE,FALSE,
STM32F303K8Tx,PA10,TRUE,FALSE,FALSE,FALSE,
STM32F303K8Tx,PA11,TRUE,FALSE,FALSE,FALSE,
STM32F303K8Tx,PA12,TRUE,FALSE,FALSE,FALSE,
STM32F303K8Tx,PA13,TRUE,FALSE,FALSE,FALSE,
STM32F303K8Tx,PA14,FALSE,FALSE,TRUE,FALSE,
STM32F303K8Tx,PA15,FALSE,FALSE,TRUE,FALSE,
STM32F303K8Tx,PB0,FALSE,TRUE,FALSE,FALSE,
STM32F303K8Tx,PB1,FALSE,TRUE,FALSE,FALSE,
STM32F303K8Tx,PB3,TRUE,FALSE,FALSE,FALSE,
STM32F303K8Tx,PB4,TRUE,FALSE,FALSE,FALSE,
STM32F303K8Tx,PB5,TRUE,FALSE,FALSE,FALSE,
STM32F303K8Tx,PB6,FALSE,FALSE,TRUE,FALSE,
STM32F303K8Tx,PB7,FALSE,FALSE,TRUE,FALSE,
STM32F303K8Tx,PF0,TRUE,FALSE,FALSE,FALSE,
STM32F303K8Tx,PF1,TRUE,FALSE,FALSE,FALSE,
